linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
а,БТС,союз,,"противопоставление, сопоставление (обычно с уступительным оттенком)","1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль ",частица; междометие,конъюнкция,сопоставление,адверсативность,противительность
а,БТС,союз,,"пространственная или временная последовательность предметов, явлений, событий","1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль",частица; междометие,таксис,следование,NA,NA
а,БТС,союз,,"развитие, дополнение, пояснение высказанной мысли или характеристику, оценку сказанного","1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль",частица; междометие,конъюнкция,присоединение,мереология,конкретизация
а,АГ-80,союз,,сопоставительный,частица-союз,частица,адверсативность,противительность,конъюнкция,сопоставление
а,АГ-80,частица-союз,,соединительный,союз,частица,конъюнкция,присоединение,NA,NA
а,ЕФР,союз,,противопоставление или сопоставление,"1. отклик на обращение как действие 2. выражение возгласом сильного чувства или физической боли как действие 3. выражение возгласом догадки о чем-л. или вспоминания чего-л. как действие 4. выражение возгласом узнавания кого-л. при встрече как действие 5. вопросительный отклик на обращение: что? 6. в репликах, требующих подтверждения сказанного
собеседником: не так ли? не правда ли? 7. возглас, выражающий сильное чувство или физическую боль 8. возглас, выражающий догадку, радостное удивление, злорадное торжество: ага! 9. возглас, выражающий узнавание кого-л. при встрече или означающий вспоминание чего-л.",предикатив; частица; междометие,конъюнкция,сопоставление,адверсативность,противительность
а,ЕФР,союз,,присоединение предложений или членов предложения (с указанием на их очередность или временную последовательность),"1. отклик на обращение как действие 2. выражение возгласом сильного чувства или физической боли как действие 3. выражение возгласом догадки о чем-л. или вспоминания чего-л. как действие 4. выражение возгласом узнавания кого-л. при встрече как действие 5. вопросительный отклик на обращение: что? 6. в репликах, требующих подтверждения сказанного
собеседником: не так ли? не правда ли? 7. возглас, выражающий сильное чувство или физическую боль 8. возглас, выражающий догадку, радостное удивление, злорадное торжество: ага! 9. возглас, выражающий узнавание кого-л. при встрече или означающий вспоминание чего-л.",предикатив; частица; междометие,таксис,следование,NA,NA
а в особенности,АГ-80,союзное соединение,,"различающе-соединительный. выделительный, включение",NA,NA,мереология,конкретизация,NA,NA
а в результате,БТС,в значении союза,,"но, несмотря на это, вопреки этому",NA,NA,адверсативность,противительность,адверсативность,уступка
а в то же время,АГ-80,союзное соединение,,NA,NA,NA,таксис,одновременность,NA,NA
а вдобавок,БТС,союз,,"сверх того, к тому же",NA,NA,мереология,аддитивность,конъюнкция,присоединение
а вдобавок,ЕФР,союз,,"дополнительное сообщение: да ещё, к тому же, да вдобавок, плюс к тому",NA,NA,мереология,аддитивность,NA,NA
а ведь,АГ-80,союзное соединение,,NA,NA,NA,адверсативность,противительность,NA,NA
а ведь,ЕФР,союз,,"противопоставление с уступительным оттенком: хотя, несмотря на то что",NA,NA,адверсативность,уступка,адверсативность,противительность
а вернее сказать,БТС,в значении союза,,уточнение,NA,NA,переформулирование,NA,мереология,конкретизация
а вместе с тем,АГ-80,союзное соединение,,NA,NA,NA,мереология,аддитивность,NA,NA
а всё ж,БТС,союз,,"однако, тем не менее","1. усиление, подчёркивание смысла высказывания",частица,адверсативность,уступка,адверсативность,противительность
а всё ж таки,БТС,союз,,"однако, тем не менее","1. усиление, подчёркивание смысла высказывания",частица,адверсативность,уступка,адверсативность,противительность
а всё же,БТС,союз,,"однако, тем не менее","1. усиление, подчёркивание смысла высказывания",частица,адверсативность,уступка,адверсативность,противительность
а всё-таки,БТС,союз + союз,,"тем не менее, однако, несмотря на что-л.",1. скрытое противопоставление,частица,адверсативность,противительность,адверсативность,уступка
а всё-таки,АГ-80,союзное соединение,,NA,NA,NA,адверсативность,противительность,NA,NA
а главное,АГ-80,союзное соединение,,различающе-соединительный,NA,NA,мереология,аддитивность,мереология,конкретизация
а если и,БТС,союз + союз,,"решительное утверждение, чтобы подчеркнуть что-л., обратить внимание на что-л.",NA,NA,мереология,конкретизация,NA,NA
а ещё,БТС,нет пометы,,"осуждение, упрёк, ирония Совсем о сыне не думает, а ещё мать!",NA,NA,адверсативность,уступка,NA,NA
а ещё,ЕФР,союз,,дополняет предшествующее высказывание,NA,NA,мереология,аддитивность,NA,NA
а ещё,ЕФР,союз,,"несоответствие чему-л. с оттенком допущения, укоризны, иронии, осуждения: хотя, а ведь",NA,NA,адверсативность,противительность,NA,NA
а зато,БТС,союз,,"возместительное сопоставление; но в то же время, однако",NA,NA,заместительные отношения,NA,NA,NA
а значит,БТС,союз + союз,,"Проезжаю родные места, и з. увижу своих племянников",NA,NA,ПУ,логический вывод,NA,NA
а значит,АГ-80,союзное соединение,,обусловленность,NA,NA,ПУ,логический вывод,NA,NA
а и оттого,БТС,в значении союза,,а и потому,NA,NA,причина,результат,NA,NA
а и то,АГ-80,союз,,NA,NA,NA,мереология,конкретизация,адверсативность,уступка
а и то,ЕФР,союз,,оттенок противопоставления или уступительности,NA,NA,адверсативность,противительность,адверсативность,уступка
а именно,БТС,нет пометы,,"Я поеду туда, где я нужнее, а и. в деревню",NA,NA,мереология,конкретизация,NA,NA
а именно,АГ-80,союз,,"пояснительный (уточнение, раскрытие перечня, введение конкретизирующего члена)",NA,NA,мереология,конкретизация,NA,NA
а именно,АГ-80,союзное соединение,,пояснительный,NA,NA,мереология,конкретизация,NA,NA
а именно,ЕФР,союз,,"уточняет, конкретизирует высказанную мысль: то есть",NA,NA,переформулирование,NA,мереология,конкретизация
а именно,ЕФР,союз,,какие-л. точные сведения,NA,NA,мереология,конкретизация,NA,NA
а к тому же,АГ-80,союз,,NA,NA,NA,мереология,аддитивность,NA,NA
а лучше сказать,БТС,в значении союза,,уточнение,NA,NA,переформулирование,NA,мереология,конкретизация
а между тем,БТС,в значении союза,,"тем временем, в то же время",NA,NA,конъюнкция,сопоставление,таксис,одновременность
а может быть,АГ-80,союзное соединение,,различающе-соединительный,NA,NA,конъюнкция,сопоставление,NA,NA
а не,АГ-80,союз,,отрицательно-противительное значение взаимного исключения,NA,NA,заместительные отношения,NA,дизъюнкция,NA
а не то,БТС,в значении союза,,"Иначе, в противном случае",NA,NA,заместительные отношения,NA,NA,NA
а не то,БТС,в значении союза,,"На самом деле, в действительности",NA,NA,адверсативность,уступка,NA,NA
а не то,БТС,в значении союза,,"Потому что, так как",NA,NA,причина,обоснование,причина,собственно причина
а не то,БТС,в значении союза,,"Или, или же",NA,NA,заместительные отношения,NA,дизъюнкция,NA
а не то,АГ-80,союз,,разделительный (выбор),NA,NA,заместительные отношения,NA,дизъюнкция,NA
а не то,ЕФР,союз,,"соединение предложений (во втором из которых действие или событие могло бы произойти, если бы препятствием для него не послужило реальное действие или событие первого предложения): а то, в противном случае, иначе",NA,NA,заместительные отношения,NA,NA,NA
